time,message,event,fields
2026-02-06T03:14:56Z,401 Unauthorized,http,{"connIndex":1"originService":"http://nginx:80""ingressRule":0"content-length":76}
2026-02-06T03:14:52Z,POST https://api.momichan.xyz/api/v1/auth/login HTTP/1.1,http,{"connIndex":1"originService":"http://nginx:80""ingressRule":0"host":"api.momichan.xyz""path":"/api/v1/auth/login""headers":{"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Cf-Ew-Via":["15"]"Cf-Ipcountry":["JP"]"Sec-Ch-Ua-Platform":["\"Windows\""]"Cache-Control":["no-cache"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Origin":["https://momichan.xyz"]"Pragma":["no-cache"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Sec-Ch-Ua-Mobile":["?0"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"Cookie":["cf_clearance=xVYn.qsIPfaKDg5gJWFQ140sOTSxfYOd6PrVxOJ5tEU-1770347691-1.2.1.1-KtHrvfNKRtVMXAEIBPL3I0LjukpXo8162BHoHD651WRwWwfQESLuWV0jKYpmh_cn5hnD7pq_9RWlrkSiqlNvYPCw7oNiVOPDuHNWv0E2CQmM4eNPFL.ui22BbUG4OYiNh16xC1nHMcceyIMjJwPcv0p96CzKswljaWBP30.Zo.5XY843gxqgms1Nleq3RP93.jZ9Z049khNpadlpK28i0C7zbD3zkZ5wcXum1qZMToI"]"Dnt":["1"]"Referer":["https://momichan.xyz/login?redirect=/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba"]"Sec-Fetch-Site":["same-origin"]"X-Forwarded-Host":["momichan.xyz"]"X-Forwarded-Proto":["https"]"Accept":["*/*"]"Accept-Language":["zh-CNzh;q=0.9"]"Cf-Ray":["9c977ad6a55348e5-NRT"]"Cf-Worker":["hmrchan-frontend.pages.dev"]"Content-Length":["1358"]"Sec-Fetch-Mode":["cors"]"Sec-Fetch-Dest":["empty"]"Accept-Encoding":["gzip br"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Content-Type":["application/json"]"Priority":["u=1 i"]"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]}"content-length":1358}
2026-02-06T03:14:39Z,Failed to handle QUIC stream,undefined,{"ip":"198.41.200.233""connIndex":1"error":"stream 753 canceled by remote with error code 0"}
2026-02-06T03:14:39Z,Request failed,undefined,{"connIndex":1"ip":"198.41.200.233""error":"Incoming request ended abruptly: context canceled""type":"http""dest":"https://api.momichan.xyz/api/v1/media/99b8e8d5-2cd0-4fc8-90bd-d2108d031871/stream"}
2026-02-06T03:14:39Z,undefined,http,{"connIndex":1"originService":"http://nginx:80""ingressRule":0"error":"Incoming request ended abruptly: context canceled"}
2026-02-06T03:12:34Z,GET https://api.momichan.xyz/api/v1/media/99b8e8d5-2cd0-4fc8-90bd-d2108d031871/stream HTTP/1.1,http,{"connIndex":1"originService":"http://nginx:80""host":"api.momichan.xyz""headers":{"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]"X-Forwarded-Host":["momichan.xyz"]"Accept-Language":["zh-CNzh;q=0.9"]"Cache-Control":["no-cache"]"Sec-Fetch-Site":["same-origin"]"X-Forwarded-Proto":["https"]"Cf-Worker":["hmrchan-frontend.pages.dev"]"Accept-Encoding":["gzip br"]"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Cf-Ew-Via":["15"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Priority":["i"]"Accept":["*/*"]"Pragma":["no-cache"]"Range":["bytes=0-"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Sec-Ch-Ua-Mobile":["?0"]"Sec-Ch-Ua-Platform":["\"Windows\""]"Sec-Fetch-Mode":["no-cors"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"Dnt":["1"]"Cf-Ipcountry":["JP"]"Cf-Ray":["9c97777a278d48e5-NRT"]"Referer":["https://momichan.xyz/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba"]"Sec-Fetch-Dest":["video"]}"content-length":0"ingressRule":0"path":"/api/v1/media/99b8e8d5-2cd0-4fc8-90bd-d2108d031871/stream"}
2026-02-06T03:12:34Z,200 OK,http,{"connIndex":3"originService":"http://nginx:80""ingressRule":0"content-length":73222}
2026-02-06T03:12:34Z,GET https://api.momichan.xyz/api/v1/media/99b8e8d5-2cd0-4fc8-90bd-d2108d031871/thumbnail?size=large&format=webp HTTP/1.1,http,{"ingressRule":0"host":"api.momichan.xyz""headers":{"Cf-Worker":["hmrchan-frontend.pages.dev"]"Pragma":["no-cache"]"Sec-Ch-Ua-Mobile":["?0"]"Sec-Ch-Ua-Platform":["\"Windows\""]"Sec-Fetch-Dest":["image"]"Sec-Fetch-Mode":["no-cors"]"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Dnt":["1"]"Priority":["i"]"Sec-Fetch-Site":["same-origin"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"X-Forwarded-Proto":["https"]"Accept-Language":["zh-CNzh;q=0.9"]"Cf-Ew-Via":["15"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Accept":["image/avifimage/webpimage/apngimage/svg+xmlimage/**/*;q=0.8"]"Cache-Control":["no-cache"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Cf-Ray":["9c97777a177f48e5-NRT"]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Referer":["https://momichan.xyz/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba"]"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]"X-Forwarded-Host":["momichan.xyz"]"Accept-Encoding":["gzip br"]"Cf-Ipcountry":["JP"]}"content-length":0"connIndex":3"originService":"http://nginx:80""path":"/api/v1/media/99b8e8d5-2cd0-4fc8-90bd-d2108d031871/thumbnail"}
2026-02-06T03:12:34Z,200 OK,http,{"connIndex":2"originService":"http://nginx:80""ingressRule":0"content-length":73222}
2026-02-06T03:12:34Z,200 OK,http,{"originService":"http://nginx:80""ingressRule":0"content-length":2040"connIndex":3}
2026-02-06T03:12:34Z,200 OK,http,{"connIndex":0"originService":"http://nginx:80""ingressRule":0"content-length":-1}
2026-02-06T03:12:34Z,204 No Content,http,{"connIndex":0"originService":"http://nginx:80""ingressRule":0"content-length":0}
2026-02-06T03:12:34Z,200 OK,http,{"connIndex":3"originService":"http://nginx:80""ingressRule":0"content-length":-1}
2026-02-06T03:12:34Z,GET https://api.momichan.xyz/api/v1/comments/post/6dccc6b6-cf54-404d-919d-dcc4e1318530?page=1&page_size=20 HTTP/1.1,http,{"host":"api.momichan.xyz""headers":{"Cf-Ipcountry":["JP"]"Dnt":["1"]"Priority":["u=1 i"]"Referer":["https://momichan.xyz/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba"]"Sec-Ch-Ua-Mobile":["?0"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Sec-Ch-Ua-Platform":["\"Windows\""]"Sec-Fetch-Mode":["cors"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"X-Forwarded-Host":["momichan.xyz"]"Cache-Control":["no-cache"]"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Cf-Ray":["9c977778069d48e5-NRT"]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Sec-Fetch-Dest":["empty"]"Sec-Fetch-Site":["same-origin"]"Accept":["*/*"]"Accept-Encoding":["gzip br"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Cf-Ew-Via":["15"]"Cf-Worker":["hmrchan-frontend.pages.dev"]"Pragma":["no-cache"]"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]"X-Forwarded-Proto":["https"]"Accept-Language":["zh-CNzh;q=0.9"]}"content-length":0"connIndex":0"ingressRule":0"path":"/api/v1/comments/post/6dccc6b6-cf54-404d-919d-dcc4e1318530""originService":"http://nginx:80"}
2026-02-06T03:12:34Z,POST https://api.momichan.xyz/api/v1/posts/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba/increment-view HTTP/1.1,http,{"originService":"http://nginx:80""ingressRule":0"host":"api.momichan.xyz""path":"/api/v1/posts/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba/increment-view""connIndex":0"headers":{"Accept-Encoding":["gzip br"]"Cf-Worker":["hmrchan-frontend.pages.dev"]"Dnt":["1"]"Sec-Fetch-Site":["same-origin"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Sec-Fetch-Mode":["cors"]"Cache-Control":["no-cache"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Pragma":["no-cache"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Content-Type":["application/json"]"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]"Cf-Ipcountry":["JP"]"Sec-Ch-Ua-Platform":["\"Windows\""]"X-Forwarded-Proto":["https"]"Priority":["u=1 i"]"Sec-Fetch-Dest":["empty"]"Accept":["*/*"]"Cf-Ew-Via":["15"]"Content-Length":["4"]"Origin":["https://momichan.xyz"]"Accept-Language":["zh-CNzh;q=0.9"]"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Cf-Ray":["9c977778069b48e5-NRT"]"Referer":["https://momichan.xyz/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba"]"Sec-Ch-Ua-Mobile":["?0"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"X-Forwarded-Host":["momichan.xyz"]}"content-length":4}
2026-02-06T03:12:34Z,GET https://api.momichan.xyz/api/v1/media/d410c32a-e7f4-4c5a-8c09-8a617bffa9da/thumbnail?size=large&format=webp HTTP/1.1,http,{"ingressRule":0"host":"api.momichan.xyz""path":"/api/v1/media/d410c32a-e7f4-4c5a-8c09-8a617bffa9da/thumbnail""originService":"http://nginx:80""headers":{"Cache-Control":["no-cache"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Priority":["i"]"Referer":["https://momichan.xyz/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba"]"Cf-Ray":["9c977778069a48e5-NRT"]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Dnt":["1"]"Sec-Ch-Ua-Platform":["\"Windows\""]"Sec-Fetch-Dest":["image"]"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]"X-Forwarded-Host":["momichan.xyz"]"X-Forwarded-Proto":["https"]"Cf-Worker":["hmrchan-frontend.pages.dev"]"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Cf-Ew-Via":["15"]"Cf-Ipcountry":["JP"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"Accept":["image/avifimage/webpimage/apngimage/svg+xmlimage/**/*;q=0.8"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Sec-Ch-Ua-Mobile":["?0"]"Sec-Fetch-Mode":["no-cors"]"Sec-Fetch-Site":["same-origin"]"Pragma":["no-cache"]"Accept-Encoding":["gzip br"]"Accept-Language":["zh-CNzh;q=0.9"]}"content-length":0"connIndex":2}
2026-02-06T03:12:34Z,GET https://api.momichan.xyz/api/v1/posts/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba HTTP/1.1,http,{"originService":"http://nginx:80""content-length":0"connIndex":3"ingressRule":0"host":"api.momichan.xyz""path":"/api/v1/posts/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba""headers":{"Accept-Encoding":["gzip br"]"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Cf-Ray":["9c977778069948e5-NRT"]"Sec-Ch-Ua-Mobile":["?0"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"X-Forwarded-Host":["momichan.xyz"]"X-Forwarded-Proto":["https"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Dnt":["1"]"Referer":["https://momichan.xyz/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba"]"Sec-Fetch-Dest":["empty"]"Sec-Fetch-Site":["same-origin"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Pragma":["no-cache"]"Accept":["*/*"]"Accept-Language":["zh-CNzh;q=0.9"]"Cache-Control":["no-cache"]"Cf-Ew-Via":["15"]"Cf-Ipcountry":["JP"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Cf-Worker":["hmrchan-frontend.pages.dev"]"Priority":["u=1 i"]"Sec-Ch-Ua-Platform":["\"Windows\""]"Sec-Fetch-Mode":["cors"]"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]}}
2026-02-06T03:12:34Z,GET https://api.momichan.xyz/api/v1/comments/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba?sort=popular HTTP/1.1,http,{"ingressRule":0"headers":{"Accept-Language":["zh-CNzh;q=0.9"]"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Dnt":["1"]"Priority":["u=1 i"]"Sec-Ch-Ua-Platform":["\"Windows\""]"Sec-Fetch-Site":["same-origin"]"Accept-Encoding":["gzip br"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Cf-Ew-Via":["15"]"Cf-Ipcountry":["JP"]"Cf-Ray":["9c977777f69548e5-NRT"]"Cf-Worker":["hmrchan-frontend.pages.dev"]"Pragma":["no-cache"]"Referer":["https://momichan.xyz/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba"]"Accept":["*/*"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Sec-Ch-Ua-Mobile":["?0"]"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"X-Forwarded-Proto":["https"]"Cache-Control":["no-cache"]"Sec-Fetch-Dest":["empty"]"Sec-Fetch-Mode":["cors"]"X-Forwarded-Host":["momichan.xyz"]}"connIndex":3"originService":"http://nginx:80""host":"api.momichan.xyz""path":"/api/v1/comments/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba""content-length":0}
2026-02-06T03:12:33Z,200 OK,http,{"content-length":-1"connIndex":2"originService":"http://nginx:80""ingressRule":0}
2026-02-06T03:12:33Z,GET https://api.momichan.xyz/api/v1/comments/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba?page=1&page_size=20 HTTP/1.1,http,{"connIndex":2"originService":"http://nginx:80""host":"api.momichan.xyz""path":"/api/v1/comments/post/0f546f15-2f96-4b9a-9dfe-cce0de3f9eba""content-length":0"ingressRule":0"headers":{"User-Agent":["Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/144.0.0.0 Safari/537.36"]"Cf-Connecting-Ip":["2a06:98c0:3600::103"]"Cf-Worker":["hmrchan-frontend.pages.dev"]"Priority":["u=1 i"]"X-Forwarded-For":["202.214.238.612a06:98c0:3600::103"]"X-Forwarded-Host":["momichan.xyz"]"X-Forwarded-Proto":["https"]"Accept-Encoding":["gzip br"]"Cf-Ipcountry":["JP"]"Cf-Ray":["9c97777022c748e5-NRT"]"Cf-Visitor":["{\"scheme\":\"https\"}"]"Pragma":["no-cache"]"Sec-Ch-Ua":["\"Not(A:Brand\";v=\"8\" \"Chromium\";v=\"144\" \"Google Chrome\";v=\"144\""]"Sec-Ch-Ua-Platform":["\"Windows\""]"Sec-Fetch-Dest":["empty"]"Accept-Language":["zh-CNzh;q=0.9"]"Cache-Control":["no-cache"]"Cdn-Loop":["cloudflare; loops=2; subreqs=1"]"Cf-Ew-Via":["15"]"Cf-Warp-Tag-Id":["33a2413d-9e4d-4cb2-a717-bb5215efb277"]"Dnt":["1"]"Referer":["https://momichan.xyz/"]"Sec-Fetch-Mode":["cors"]"Accept":["*/*"]"Sec-Ch-Ua-Mobile":["?0"]"Sec-Fetch-Site":["same-origin"]}}
2026-02-06T03:12:33Z,200 OK,http,{"originService":"http://nginx:80""ingressRule":0"content-length":73222"connIndex":1}
